ticker,expiry,option_type,downloaded_at_utc,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00320000,2026-01-21 20:43:18+00:00,320.0,2.7,2.55,2.61,0.13000011,5.05837,229.0,1059.0,0.26050544189453123,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00325000,2026-01-21 18:22:16+00:00,325.0,2.14,2.11,2.28,-0.07999992,-3.6036,19.0,325.0,0.26215337463378907,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00330000,2026-01-21 19:48:40+00:00,330.0,2.08,1.84,1.9,0.2299999,12.432427,36.0,1022.0,0.260749580078125,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00335000,2026-01-21 19:48:28+00:00,335.0,1.78,1.57,1.63,-0.09000003,-4.812836,16.0,132.0,0.2613599255371094,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00340000,2026-01-21 18:36:59+00:00,340.0,1.34,1.35,1.41,-0.049999952,-3.5971189,230.0,795.0,0.2624585473632813,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00345000,2026-01-21 17:34:57+00:00,345.0,1.15,1.12,1.22,-0.49,-29.87805,1.0,19.0,0.26355716918945316,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00350000,2026-01-21 18:41:11+00:00,350.0,1.0,1.01,1.06,-0.19000006,-15.966391,34.0,146.0,0.26483889465332033,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00360000,2026-01-20 20:55:08+00:00,360.0,0.78,0.76,0.81,0.0,0.0,30.0,132.0,0.26782958740234375,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00370000,2026-01-21 20:36:43+00:00,370.0,0.64,0.58,0.63,-0.030000031,-4.4776163,1.0,250.0,0.27149166015625,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00380000,2026-01-20 18:48:24+00:00,380.0,0.48,0.45,0.5,0.0,0.0,7.0,141.0,0.2756420092773437,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00390000,2026-01-12 16:16:25+00:00,390.0,0.57,0.3,0.39,0.0,0.0,2.0,45.0,0.2788158056640625,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00400000,2026-01-21 16:09:18+00:00,400.0,0.28,0.22,0.31,0.00999999,3.7037,3.0,150.0,0.28247787841796873,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00410000,2025-12-23 17:35:40+00:00,410.0,0.51,0.16,0.25,0.0,0.0,5.0,104.0,0.28613995117187496,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00420000,2026-01-14 14:30:01+00:00,420.0,0.28,0.12,0.4,0.0,0.0,1.0,13.0,0.31690136230468746,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00430000,2025-12-15 14:30:17+00:00,430.0,0.57,0.08,0.36,0.0,0.0,1.0,2.0,0.32398136962890617,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00440000,2025-12-11 14:31:00+00:00,440.0,0.52,0.06,0.33,0.0,0.0,1.0,4.0,0.331061376953125,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00450000,2026-01-12 17:08:43+00:00,450.0,0.1,0.04,0.31,0.0,0.0,322.0,624.0,0.3391179370117187,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00110000,2026-01-21 15:08:30+00:00,110.0,0.2,0.18,0.22,-0.00999999,-4.7619004,27.0,518.0,0.4643608251953125,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00115000,2026-01-15 16:39:16+00:00,115.0,0.15,0.19,0.26,0.0,0.0,1.0,20.0,0.45117736328125,False,REGULAR,USD
AAPL,2026-08-21,put,2026-01-21T21:40:12.897605+00:00,AAPL260821P00120000,2026-01-20 18:11:30+00:00,120.0,0.28,0.24,0.31,0.0,0.0,1.0,591.0,0.43848217773437503,False,REGULAR,USD
